crop_id,scene_id,disaster,damage_label,label_id,pre_crop_path,post_crop_path,crop_width,crop_height,polygon_area
palu-tsunami_00000115__b0007,palu-tsunami_00000115,palu-tsunami,major-damage,2,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/palu-tsunami_00000115__b0007.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/palu-tsunami_00000115__b0007.jpg,93,93,2537.6131449400127
hurricane-florence_00000485__b0046,hurricane-florence_00000485,hurricane-florence,major-damage,2,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-florence_00000485__b0046.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-florence_00000485__b0046.jpg,45,45,398.99992755285473
palu-tsunami_00000168__b0155,palu-tsunami_00000168,palu-tsunami,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/palu-tsunami_00000168__b0155.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/palu-tsunami_00000168__b0155.jpg,18,19,54.23884226890479
hurricane-harvey_00000402__b0121,hurricane-harvey_00000402,hurricane-harvey,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-harvey_00000402__b0121.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-harvey_00000402__b0121.jpg,80,80,2212.4027299543277
palu-tsunami_00000168__b0056,palu-tsunami_00000168,palu-tsunami,destroyed,3,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/palu-tsunami_00000168__b0056.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/palu-tsunami_00000168__b0056.jpg,46,46,564.90886274716
hurricane-harvey_00000491__b0014,hurricane-harvey_00000491,hurricane-harvey,minor-damage,1,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-harvey_00000491__b0014.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-harvey_00000491__b0014.jpg,61,61,823.6078187852535
hurricane-florence_00000031__b0010,hurricane-florence_00000031,hurricane-florence,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-florence_00000031__b0010.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-florence_00000031__b0010.jpg,41,49,518.0225683908276
hurricane-michael_00000141__b0058,hurricane-michael_00000141,hurricane-michael,minor-damage,1,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-michael_00000141__b0058.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-michael_00000141__b0058.jpg,92,92,1860.6146648320741
palu-tsunami_00000189__b0047,palu-tsunami_00000189,palu-tsunami,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/palu-tsunami_00000189__b0047.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/palu-tsunami_00000189__b0047.jpg,31,31,282.7411802260404
guatemala-volcano_00000001__b0000,guatemala-volcano_00000001,guatemala-volcano,minor-damage,1,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/guatemala-volcano_00000001__b0000.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/guatemala-volcano_00000001__b0000.jpg,75,75,946.9512619484087
hurricane-harvey_00000491__b0059,hurricane-harvey_00000491,hurricane-harvey,major-damage,2,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-harvey_00000491__b0059.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-harvey_00000491__b0059.jpg,101,101,1975.096945510028
hurricane-harvey_00000467__b0072,hurricane-harvey_00000467,hurricane-harvey,minor-damage,1,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-harvey_00000467__b0072.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-harvey_00000467__b0072.jpg,31,23,243.59165477641008
mexico-earthquake_00000105__b0071,mexico-earthquake_00000105,mexico-earthquake,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/mexico-earthquake_00000105__b0071.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/mexico-earthquake_00000105__b0071.jpg,181,180,4475.000000032489
hurricane-michael_00000281__b0111,hurricane-michael_00000281,hurricane-michael,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-michael_00000281__b0111.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-michael_00000281__b0111.jpg,37,37,536.0000000070461
hurricane-harvey_00000402__b0123,hurricane-harvey_00000402,hurricane-harvey,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-harvey_00000402__b0123.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-harvey_00000402__b0123.jpg,109,110,3097.6451175900456
midwest-flooding_00000417__b0013,midwest-flooding_00000417,midwest-flooding,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/midwest-flooding_00000417__b0013.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/midwest-flooding_00000417__b0013.jpg,23,22,157.2724639717706
santa-rosa-wildfire_00000170__b0005,santa-rosa-wildfire_00000170,santa-rosa-wildfire,minor-damage,1,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/santa-rosa-wildfire_00000170__b0005.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/santa-rosa-wildfire_00000170__b0005.jpg,21,21,61.57988798045478
palu-tsunami_00000189__b0049,palu-tsunami_00000189,palu-tsunami,destroyed,3,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/palu-tsunami_00000189__b0049.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/palu-tsunami_00000189__b0049.jpg,37,37,365.14781273919397
hurricane-florence_00000045__b0019,hurricane-florence_00000045,hurricane-florence,no-damage,0,/kaggle/working/xbd_urec1_building_classifier/building_crops/pre/hurricane-florence_00000045__b0019.jpg,/kaggle/working/xbd_urec1_building_classifier/building_crops/post/hurricane-florence_00000045__b0019.jpg,19,19,76.39110552644279
